intercolumnar distance ,upper margin,lower margin,exploitation,row number,modular ratio ,interlinear spacing ,weight ,peak number ,modular ratio,class
0.117948,-0.220579,0.367214,0.914608,0.261718,1.35301,1.352689,-0.38650300000000004,-0.185368,0.541155,A
0.809204,-0.09496,0.11826500000000001,0.987502,0.976743,-0.515608,-0.9500860000000001,0.800147,1.155435,0.244286,I
0.080916,0.014957,0.064919,0.346104,0.17234000000000002,0.10726500000000001,0.446679,0.319927,0.31353600000000004,-0.028183999999999997,A
-3.461768,-0.20487600000000003,-3.210528,-3.4418370000000005,-3.045274,-1.636779,-8.953175,3.273029,-3.8959629999999996,-5.460407,F
0.056228999999999994,-0.730905,0.44189799999999996,0.183695,0.261718,1.685209,0.52218,-0.591821,-0.154186,1.319049,A
-0.22768000000000002,-0.11066199999999998,0.196506,1.060099,0.261718,0.14879,0.484429,1.114909,1.872609,-0.0050869999999999995,X
0.043885,0.572391,0.00446,-0.3331,0.261718,-0.889332,0.144676,0.653638,0.687713,-0.7631979999999999,G
0.204355,-0.134216,0.043581,-0.6548729999999999,0.261718,-0.10036,0.597681,-0.46090299999999995,0.62535,-0.282825,E
-0.128929,-0.511072,0.342319,0.170775,0.261718,1.643684,0.333428,-0.46298,-0.278912,1.416563,F
-0.215336,0.28189699999999995,0.107596,0.73922,0.08296100000000001,0.688613,-0.157328,-0.039337000000000004,0.594169,0.853769,E
-0.178304,-0.338346,0.45968000000000003,1.40246,0.797987,1.103861,-1.440842,0.487831,0.7500760000000001,2.328799,Y
0.006853,0.164129,0.125378,0.5845100000000001,0.261718,0.14879,0.220177,-0.660513,-0.8401790000000001,0.136947,A
0.068573,-1.16272,-3.210528,-0.829367,0.261718,3.346203,0.7864329999999999,-1.190592,-0.8089970000000001,2.574277,A
-0.00549,0.478177,0.029355000000000003,-0.247644,0.17234000000000002,1.0623360000000002,0.333428,-0.670454,0.095265,0.9023760000000001,A
-0.079554,0.313302,0.139604,0.295528,0.261718,1.477585,0.144676,-0.09637899999999999,-0.060641999999999995,1.37056,A
-0.042522000000000004,0.7529680000000001,-0.10934400000000001,1.041241,-1.347089,-0.01731,-5.81989,0.040752,-0.5283640000000001,-2.559231,F
